date,value
2022-04-12 00:00:00,100.50671415301122
2022-04-12 04:00:00,100.37844985184006
2022-04-12 08:00:00,101.03613838994075
2022-04-12 12:00:00,102.56916824634877
2022-04-12 16:00:00,102.34501487162544
2022-04-12 20:00:00,102.12087791467626
2022-04-13 00:00:00,103.71009073018365
2022-04-13 04:00:00,104.48752545933655
2022-04-13 08:00:00,104.0280510734016
2022-04-13 12:00:00,104.58061111698755
2022-04-13 16:00:00,104.12719342417509
2022-04-13 20:00:00,103.67146367060485
2022-04-14 00:00:00,103.92342594217088
2022-04-14 04:00:00,102.02014569751307
2022-04-14 08:00:00,100.30522786500005
2022-04-14 12:00:00,99.75294033575908
2022-04-14 16:00:00,98.75010921542466
2022-04-14 20:00:00,99.07435654801992
2022-04-15 00:00:00,98.17633247249871
2022-04-15 04:00:00,96.77402877116343
2022-04-15 08:00:00,98.24967754008497
2022-04-15 12:00:00,98.03390123959844
2022-04-15 16:00:00,98.11142944428636
2022-04-15 20:00:00,96.6966812580729
2022-04-16 00:00:00,96.16229853354771
2022-04-16 04:00:00,96.28322112325759
2022-04-16 08:00:00,95.14222754583528
2022-04-16 12:00:00,95.52792556418096
2022-04-16 16:00:00,94.93728687426216
2022-04-16 20:00:00,94.65559312446888
2022-04-17 00:00:00,94.06388651223948
2022-04-17 04:00:00,95.92616469674842
2022-04-17 08:00:00,95.92266747201049
2022-04-17 12:00:00,94.87495654305458
2022-04-17 16:00:00,95.70750145515777
2022-04-17 20:00:00,94.49665780518674
2022-04-18 00:00:00,94.7155214001915
2022-04-18 04:00:00,92.76585127631172
2022-04-18 08:00:00,91.4476652274133
2022-04-18 12:00:00,91.65452646328242
2022-04-18 16:00:00,92.40299304327783
2022-04-18 20:00:00,92.5843613244678
2022-04-19 00:00:00,92.47871304207956
2022-04-19 04:00:00,92.18760934649028
2022-04-19 08:00:00,90.71908735612286
2022-04-19 12:00:00,90.00924314772814
2022-04-19 16:00:00,89.55860437676834
2022-04-19 20:00:00,90.62572660298727
2022-04-20 00:00:00,90.97934489255573
2022-04-20 04:00:00,89.22630473719299
2022-04-20 08:00:00,89.56038870658779
2022-04-20 12:00:00,89.18530642617148
2022-04-20 16:00:00,88.51838442586552
2022-04-20 20:00:00,89.14006071470638
2022-04-21 00:00:00,90.18106023720233
